INFO 2026-06-24 15:54:04,147 django.server log.py:249 - "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2026-06-24 15:54:04,152 django.server log.py:249 - "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2026-06-24 15:54:04,159 django.server log.py:249 - "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-06-24 15:54:04,164 django.server log.py:249 - "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2026-06-24 15:54:04,214 django.server log.py:249 - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-06-24 15:54:06,567 django.server log.py:249 - "GET /admin/discussion_app/student/ HTTP/1.1" 200 15285
INFO 2026-06-24 15:54:06,675 django.server log.py:249 - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-06-24 15:54:08,527 django.server log.py:249 - "GET /admin/discussion_app/student/c3339c1d-84a5-4421-a51a-e614b610051a/change/ HTTP/1.1" 200 21419
INFO 2026-06-24 15:54:08,569 django.server log.py:249 - "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
INFO 2026-06-24 15:54:08,569 django.server log.py:249 - "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
INFO 2026-06-24 15:54:08,578 django.server log.py:249 - "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2026-06-24 15:54:08,582 django.server log.py:249 - "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2026-06-24 15:54:08,589 django.server log.py:249 - "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
INFO 2026-06-24 15:54:08,668 django.server log.py:249 - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-06-24 15:54:08,746 django.server log.py:249 - "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
INFO 2026-06-24 15:54:08,746 django.server log.py:249 - "GET /static/admin/img/icon-clock.svg HTTP/1.1" 304 0
INFO 2026-06-24 15:54:40,504 django.server log.py:249 - "GET /admin/discussion_app/subject/ HTTP/1.1" 200 15148
INFO 2026-06-24 15:54:40,626 django.server log.py:249 - "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-06-24 15:54:49,613 discussion_app.permissions permissions.py:10 - Student permission check for user: Alice
INFO 2026-06-24 15:54:49,619 discussion_app.permissions permissions.py:12 - User Alice is a student
INFO 2026-06-24 15:54:49,623 discussion_app.views views.py:49 - User Alice creating a new post
INFO 2026-06-24 15:54:49,638 discussion_app.signals signals.py:91 - Post created: 'What is planetry motion?...' by Alice (UUID: a1e8b638-4258-4bb2-bb01-9e616c3e6076)
INFO 2026-06-24 15:54:49,638 discussion_app.views views.py:51 - Post created by Alice
INFO 2026-06-24 15:54:49,641 django.server log.py:249 - "POST /api/posts/ HTTP/1.1" 201 286
INFO 2026-06-24 15:55:32,647 django.server log.py:249 - "GET /admin/discussion_app/teacher/ HTTP/1.1" 200 15296
